,chunks
77, If the Respondent does not agree to the Faculty Resolution  the Faculty Member forwards the case to OSI. 5. Implementation The Respondent is formally notified of the proposed Faculty Resolution by OSI  according to the communication guidelines in Section F-2. The Faculty resolution goes into effect upon delivery unless the Respondent requests within five  5  Business Days that the case be forwarded to OSI for investigation. 6. Hearing Participants and Attendees Student Conduct Panel hearings shall ordinarily be closed except for the Respondent s   the Complainant s   Advisor s   and Witnesses.
78, Exceptions may be made at the discretion of the Chair. Witnesses are allowed at the discretion of the Chair. The Chair may exclude any person  including the Respondent  who disrupts a hearing. A Respondent who fails to appear after proper notice will be deemed to have responded  Not Responsible  to the charges against him her and to have exercised the right to remain silent without prejudice. At the discretion of the Chairperson the hearing may be conducted in the absence of the Student s  and all the Information regarding the alleged misconduct shall be presented and considered.
79, The Complainant s  and Respondent s  may be accompanied by an Advisor and up to two  2  family members. The Complainant s  and or Respondent s  should select an Advisor who can attend the hearing at the scheduled date and time. Delays are not usually granted due to scheduling conflicts of an Advisor. Subject to the Chairperson s control of the hearing  the Complainant s   Respondent s   and their Advisor s   and up to two  2  family members may be allowed to attend the Student Conduct Panel hearing  but not Panel deliberations.
80, In Student Conduct Panel hearings involving more than one Respondent  OSI may permit the Student Conduct Panel hearings concerning each Student to be conducted either separately or jointly. A maximum of two  2  character Witnesses will be allowed in a hearing. 7. Hearing Procedures for Student Panel The Chair shall exercise control over the proceedings to achieve orderly completion of the hearing. Advisors are restricted to private communications with their advisee s . If the Advisor disrupts the hearing process  he she may be asked to leave.
81, All questions by the Complainant s  and Respondent s  must be directed to the Chairperson  rather than to the Witness directly. Questions of whether potential Information will be received shall be resolved at the discretion of the Chairperson. In addition to the Information provided by OSI  the Student Conduct Panel  at the discretion of the Chair  may accept additional pertinent information and testimony  including impact statements . Any letters of recommendation submitted by the Respondent will be admitted for consideration at the discretion of the Chair and  if admitted  will be viewed only during Panel deliberations.
82, All procedural questions arising during the hearing are subject to the final decision of the Chair. The Student Conduct Panel s standard of proof shall be a Preponderance of the Evidence. Where the potential sanctions for the alleged misconduct may involve a suspension or expulsion  the Panel s finding must be supported by Substantial Evidence. The Student Conduct Panel in consultation with OSI  may reasonably accommodate concerns for the personal safety and well-being of the Complainant s   Respondent s   and or Witnesses during the hearing.
83, The Student Conduct Panel shall make a recording of the proceeding  which will serve as the official record of the hearing. No other recording will be permitted. The Respondent or the Complainant may request a copy of the Institute s recording or may listen to the original recording in a location designated by OSI at no charge. The record shall be the property of the Institute and is subject to the Family Educational Rights and Privacy Act of 1974  20 USC  1232g. G. SANCTIONS Sanctions are imposed only when the Respondent is found responsible for one  1  or more violations of the Policy.
84, All Sanctions are officially recorded. A Respondent who is found responsible must be given one of the four  4  Sanctions  listed in Section G-1 in ascending order of severity. The Respondent may also be subject to one or more Supplementary Requirements. There is no requirement that a Student receive less severe sanctions before more severe sanctions  some conduct may warrant immediate expulsion. In determining the severity of sanctions or corrective actions the following should be considered  the frequency  severity  and or nature of the offense  history of past conduct  a Respondent s willingness to accept responsibility  previous institutional response to similar conduct  strength of the evidence  and the wellbeing of the Institute community.
85, The Institute will determine sanctions and issue notice of the same  as outlined above. 1. Sanction Descriptions Disciplinary Warning A disciplinary warning is a formal written notice that the Student  Group  or RSO has violated the Student Code of Conduct and that further violations may result in more serious disciplinary action. Students  Groups  or RSOs who receive a disciplinary warning are still considered in good standing with the Institute. Disciplinary Probation Disciplinary probation means there is a specified time period during which the Student  Group  or RSO is considered not in good standing with the Institute.
86, Further violations during that time period may result in more serious disciplinary action  up to and including expulsion from the Institute. Suspension Suspension means a Student  Group  or RSO has been found responsible for violating the Institute s Policy. Suspension is separation of the Student from the Institute for a specified period of time  after which the Student is eligible to return. Conditions for readmission may be specified by OSI or the Associate Vice President for Student Life   Dean of Students.
87, A suspended Student shall immediately leave campus and may not re-enter campus without prior approval from the Associate Vice President for Student Life   Dean of Students. Students on suspension are not permitted to enroll in classes at the Institute during their suspension. OSI will determine when the Respondent has met the requirements for readmission. For an RSO  the Institute will withdraw recognition for the duration of the suspension. Any further disciplinary violation may result in disciplinary action up to and including Expulsion.
88, Expulsion Expulsion means a Student  Group  or RSO has been found responsible for violating the Institute s Policy. Expulsion is permanent separation and termination of the Respondent s status as a Georgia Tech Student  and exclusion from Institute Premises  privileges  and activities. For an RSO  the Institute permanently withdraws recognition. For suspension and expulsion  the Institute must articulate  in its written decision  the Substantial Evidence relied upon in determining that suspension or expulsion were appropriate.
89, 2. Supplementary Requirements Restitution  Payment to the Institute or to an affected party for damages resulting from a violation of the Code. Fine  A monetary penalty paid to the Institute. Grade Change  Change of grade for the course and or coursework in which the academic misconduct occurred. Programmatic Requirements  Required completion of designated educational programs  e.g.  alcohol  community issues  anger management  assessments  etc. . Restrictions  Exclusion from participation in specified services and activities.
90, Revocation of Admission and or Degree  Admission to  or a degree awarded from the Institute may be revoked for fraud  misrepresentation  or other violation of Institute standards obtaining the degree  or for other serious violations committed by a Student prior to graduation. Withholding Degree  The Institute may withhold awarding a degree otherwise earned until the completion of the process set forth in this Student Code of Conduct  including the completion of all Sanctions and Supplementary Requirements  if any.
91, Other Requirements may be imposed. H. APPEAL PROCEDURES Appeals may be made in any cases where sanctions are issued  even when such sanctions are held  in abeyance   such as probationary or expulsion. Where the sanction imposed includes a suspension or expulsion  there are appellate procedures provided to the Respondent and Complainant at every level. Any party may challenge the participation of any Institute official or employee in the process on the grounds of personal bias by submitting a written statement to the Institute s designee setting forth the basis for the challenge.
92, The written challenge should be submitted within a reasonable time after the party reasonably should have known of the existence of the bias. The Institute s designee will determine whether to sustain or deny the challenge  and if sustained  the replacement to be appointed. 1. Reasons for Appeal The appeal process is not intended to grant a new hearing at a higher level. An appeal shall be limited to a review of the record of the initial hearing  supporting documents  and the Respondent s written appeal.
93, The Respondent must explicitly state why he or she believes an appeal is warranted. Appeals will be considered only for the following reasons  a. to consider new information  sufficient to alter the decision  or other relevant facts not brought out in the original hearing  or appeal   because such information was not known or knowable to the person appealing during the time of the hearing  or appeal   b. to allege a procedural error within the hearing process that may have substantially impacted the fairness of the hearing  or appeal   including but not limited to whether any hearing questions were improperly excluded or whether the decision was tainted by a conflict of interest or bias by the Title IX Coordinator  Conduct Officer  investigator s   or decision maker s   or c.
94, to allege that the finding was inconsistent with the weight of the information. 2. Process a. Effective date of sanctions If a case is appealed  sanctions are not imposed while the appeal is pending unless the welfare of a person or the community is threatened. Sanctions will be imposed if an appeal is not filed  the deadline for an appeal passes  or when an appeal decision has been finalized. b. Appeal to the Associate Vice President for Student Life   Dean of Students The appeal must be made in writing and must set forth one or more of the bases outlined above and must be submitted within five  5  Business Days of the date of the final written decision.
95, The appeal shall be a review of the record only  and no new meeting with the Respondent or the Complainant will be held. The Associate Vice President for Student Life   Dean of Students  or their designee  may affirm the original finding and sanction  affirm the original finding but issue a new sanction of greater or lesser severity  remand the case back to the decision-maker to correct a procedural or factual defect  or reverse or dismiss the case if there was a procedural or factual defect that cannot be remedied by remand.
96, The Associate Vice President for Student Life   Dean of Students or their designee shall then issue a decision in writing to the Respondent within a reasonable time period  ordinarily ten  10  Business Days. This is the final decision of the Institute  unless the sanction is suspension or expulsion. In cases where the Respondent has been expelled or suspended  the decision of the Associate Vice President for Student Life   Dean of Students may be appealed to the President or their designee solely on the three grounds set forth above.
97, c. Appeal to the President The appeal to the President or their designee must be made in writing  must set forth one or more of the bases outlined above  and must be submitted within five  5  Business Days of the date of the final written decision by the Associate Vice President for Student Life   Dean of Students. The President s designee shall normally be the Vice President for Student Engagement and Well-Being  unless there is a conflict of interest or the Vice President for Student Engagement and Well-Being is otherwise unavailable.
98, The appeal shall be a review of the record only  and no new meeting with the Respondent or the Complainant  where applicable  will be held. The President or their designee may affirm the original finding and sanction  affirm the original finding but issue a new sanction of greater or lesser severity  remand the case back to any lower decision maker to correct a procedural or factual defect  or reverse or dismiss the case if there was a procedural or factual defect that cannot be remedied by remand.
99, The President or their designee s decision shall be issued in writing to the parties within a reasonable time period  ordinarily within ten  10  Business Days. The President or their designee s decision shall be the final decision of the Institute. 3. Appeal Decisions Decisions of the Appellate Officer go into effect immediately. Appeals received after the designated deadlines will not be considered unless the Institute or Board of Regents has granted an extension prior to the deadline. If an appeal is not received by the deadline the last decision on the matter will become final.
100, 4. Board of Regents In cases where the President or their designee has received an appeal and issued a final decision  The Respondent or Complainant  where applicable may file an application for discretionary review to the Board of Regents in accordance with the Board of Regents Policy 6.26  Application for Discretionary Review. Applications from USG students are permitted for final institution decisions other than decisions on admissions  including program admissions   residency  student grades  and traffic citations  as the final decision on those matters rests with the President or their designee.
101, The application for review shall be submitted in writing to University System Office of Legal Affairs the within twenty  20  calendar days following the Institute s final decision. I. RECORD KEEPING AND RELEASE OF INFORMATION 1. Retention of Student Conduct Records Georgia Tech retains student conduct records in accordance with USG Records Retention Schedules. 2. Release of Information Student disciplinary files shall be governed by the Family Educational Rights and Privacy Act 20 U.S.C.   1232g.
102, a. Academic or non-academic misconduct resulting in expulsion may be released to third parties indefinitely. b. Academic misconduct that resulted in suspension may be released to third parties for five years after sanction completion. c. Any non-academic misconduct that resulted in suspension where a potential threat to the campus community exists  including but not limited to illegal drug distribution  endangering or harming any person  or jeopardizing the safety of any person  may be released to third parties for five years after sanction completion.
103, In instances of suspension where no threat to the community is identified  the suspension may be reported until the sanction is complete. d. Any academic or non-academic misconduct that did not result in suspension or expulsion is not released to third parties. e. The Institute requires a specific written request from the student to release the entire disciplinary record to third parties. 3. Parent Legal Guardian Notification Parents Legal Guardians of Students under the age of 21 may be notified when a Student is found responsible for violating the Georgia Tech Student Policy on Alcohol and other Drugs when any of the following occur  a.
104, A Student endangers themselves or others while under the influence of alcohol or other substances. Specific instances include driving under the influence  fighting  alcohol poisoning  and hospitalization. b. The Associate Vice President for Student Life   Dean of Students determines that any future violation of Institute Policy will most likely result in suspension from the Institute. c. A Student Conduct Administrator determines that any future violation of Institute Policy will likely result in removal from housing.
105, 4. Transcript Encumbrances In pending cases that could result in Suspension or Expulsion  the Associate Vice President for Student Life   Dean of Students will normally place a temporary encumbrance  hold  on a Respondent s records. The Associate Vice President for Student Life   Dean of Students will also place a hold on a Respondent s records if the Respondent fails to respond to an official request to meet with a Student Conduct Administrator or the Associate Vice President for Student Life   Dean of Students  or if the Respondent fails to complete assigned Sanctions.
106, J. REFERENCES Academic Honor Code  www.honor.gatech.edu Board of Regents  www.usg.edu policymanual  Computer Use and Network Policy  www.security.gatech.edu Department of Housing  www.housing.gatech.edu Faculty Senate  www.Facultysenate.gatech.edu Office of the Associate Vice President for Student Life   Dean of Students  www.studentlife.gatech.edu  Office of Student Integrity  www.osi.gatech.edu Title IX Information  https   titleix.gatech.edu  Fraternity   Sorority Life Hazing Statement  https   greek.
107,gatech.edu content hazing-statement The following policies can be found on the OSI website  Alcohol and Drug Policy Sexual Misconduct Policy Good Samaritan Medical Amnesty Provision Revision Date February 2021 August 2020 October 2017 July 1  2016 April 2015 March 2015 04-22-2014 Author Student Life Legal Affairs Student Life Legal Affairs Office of Student Integrity Student Life Legal Affairs Office of Student Integrity Office of Student Integrity Office of Student Integrity Description Editorial Updates Revised per BOR Policy Revised per BOR Policy Substantive changes for BOR compliance Discriminatory Conduct Provision added to policy Added designee language to appeals section Code of Conduct posted
